Feature 1,Feature 2,Oil Type
-8.897953,-4.5659294,VO C
1.3385531,-3.778462,VO C
-3.1299858,-3.9457383,VO C
11.468486,-6.1486006,VO C
12.006284,-5.8657775,VO C
3.2056742,-5.635089,VO C
-15.619309,-0.12971488,VO C
-15.895817,1.34885,VO C
11.322376,-6.183495,VO C
11.223929,-5.7092304,VO C
12.016737,-5.8748293,VO C
10.802322,-6.1829653,VO C
12.859394,-6.053942,VO C
11.442012,-6.023561,VO C
12.473805,-5.755185,VO C
12.7951975,-6.0474386,VO C
12.164472,-6.404918,VO C
13.193136,-6.0965767,VO C
6.3255796,-5.310988,VO C
10.493957,-6.160422,VO C
12.159812,-5.69295,VO C
12.206599,-6.1864285,VO C
10.63157,-5.986945,VO C
8.791373,-3.237499,VO C
8.473179,-3.4987254,VO C
8.9949045,-4.367053,VO C
4.0056925,-5.508728,VO C
2.2984362,-6.328455,VO C
3.8083832,-7.6883802,VO C
2.9291098,-7.8951235,VO C
3.1774414,-7.205633,VO C
2.3024662,-9.223381,VO C
6.7850294,-4.6521063,VO C
5.633767,-4.8872557,VO C
4.4296246,-5.3466415,VO C
6.072153,-5.214462,VO C
4.6106186,-5.1825104,VO C
6.864788,-5.1304097,VO C
6.3982153,-5.235573,VO C
6.3334403,-5.132935,VO C
4.380494,-4.804708,VO C
2.9710262,-7.0076337,VO C
4.0401525,-4.9410276,VO C
-6.005439,-6.2615013,VO C
-8.195093,-5.0822115,VO C
-11.678191,-3.9162474,VO C
-8.335021,-4.150926,VO C
-7.3809347,-5.1923676,VO C
-4.799185,-5.8058515,VO C
-5.454887,-4.475223,VO C
-5.659676,-4.0094604,VO C
-3.0911133,-5.075696,VO C
-4.14234,-4.709181,VO C
7.5800633,2.1530979,VO C
-3.752583,-5.708652,VO C
-5.3055115,-5.2568755,VO C
-5.7062397,-5.571448,VO C
-9.202667,-2.0234594,VO C
-6.884855,-3.0270922,VO C
-8.699663,-2.649597,VO C
-8.421764,-2.8899107,VO C
-8.0066395,-3.3867598,VO C
-5.779018,-3.7678545,VO C
