Feature 1,Feature 2,Oil Type
3.5494416,2.4064116,GNO C
-4.9206076,3.3844638,GNO C
-10.353731,2.9587908,GNO C
-8.358051,2.7762167,GNO C
-2.4866128,1.3109709,GNO C
-8.8906355,4.700228,GNO C
-8.592645,4.2071643,GNO C
-9.458468,2.3950427,GNO C
-7.8290963,-0.99435633,GNO C
-4.3806734,7.457025,GNO C
-0.84782785,-0.09457588,GNO C
-6.7287445,3.0530112,GNO C
-1.1523389,0.3095973,GNO C
-8.695289,1.0419959,GNO C
7.148702,5.6207514,GNO C
-1.9665465,0.56539387,GNO C
-7.731488,0.8873824,GNO C
-6.001294,2.8404806,GNO C
-8.781874,4.3151145,GNO C
-7.7673883,-7.111174,PO C
-3.8008478,-7.5358777,PO C
-1.9718822,-7.4076915,PO C
-0.94415486,-4.27255,PO C
-3.374474,-8.637266,PO C
9.680584,0.64217347,PO C
-14.097144,-4.5283036,PO C
-3.5734546,-7.526859,PO C
-5.3978324,-8.070703,PO C
-1.366787,-7.067352,PO C
-2.974716,-8.154744,PO C
-5.6206727,-8.12236,PO C
-3.7254584,-7.382033,PO C
-4.2849784,-7.644843,PO C
-3.1162364,-7.4020925,PO C
-3.3521056,-8.42991,PO C
-13.943647,-2.0903685,PO C
-13.225678,-4.2131643,PO C
-4.8479266,-7.8270288,PO C
-7.2276797,-5.6311364,PO C
-1.2763191,-8.656726,PO C
4.610316,-1.7125417,PO C
8.286863,0.508115,PO C
-0.60273975,-6.9292297,PO C
-4.5995226,-8.94097,PO C
-10.991219,-5.4345455,PO C
-9.177979,-5.8750715,PO C
0.08570627,-5.3081493,PO C
10.049179,-0.32100737,PO C
8.539512,-1.9011861,PO C
-1.5943075,-6.4941754,PO C
-1.7478858,-7.7241116,PO C
9.132067,3.3736458,PO C
-1.1469887,-5.304154,PO C
-0.13424982,-4.6427293,PO C
-1.8253402,-6.717017,PO C
-2.5157802,-6.683179,PO C
-0.35158843,-5.4514585,PO C
-2.403512,-5.3735886,PO C
-4.8572025,-2.8347044,PO C
-1.6316841,-5.5547214,PO C
11.321547,1.2854326,PO C
11.102785,0.6510745,PO C
10.69225,0.36630848,PO C
10.363108,0.4916743,PO C
-17.251713,-1.5316445,PO C
10.004468,1.3001205,PO C
13.506214,1.2361294,PO C
12.55668,1.0575535,PO C
10.75333,0.6713097,PO C
-10.946353,-6.494556,PO C
1.8149077,-2.6134894,PO C
13.715719,1.3014077,PO C
13.372792,1.1520791,PO C
13.390412,1.1613686,PO C
-15.283664,-1.9272712,PO C
-3.5123496,-9.111832,PO C
-2.400371,-5.915919,PO C
-5.271587,-3.3557258,PO C
-3.9284148,-4.5579953,PO C
12.604152,1.2407238,PO C
11.600876,1.5121224,PO C
11.892087,1.0806376,PO C
11.631822,1.3333387,PO C
11.394765,1.3441948,PO C
13.657446,1.2980751,PO C
12.472902,1.2153131,PO C
8.937605,0.48631167,PO C
11.704717,1.5300294,PO C
11.8433075,2.659874,PO C
13.226555,1.2722648,PO C
13.424988,1.2430501,PO C
10.025532,0.6644419,PO C
11.192344,1.3827024,PO C
12.01222,1.9955901,PO C
11.316227,1.8370209,PO C
10.679716,2.6562562,PO C
5.782786,0.15222694,PO C
