Oil_Type,Feature 1,Feature 2,Feature 3
SO,4.959593,-3.2568257,3.465766
SO,5.5977583,-3.0212488,5.801549
SO,5.5113826,-2.6200356,4.082935
SO,4.1442833,-2.9812794,6.9738884
SO,5.377886,-2.6993892,3.6951604
SO,5.0697517,-3.2463791,6.7471514
SO,7.3548684,-2.39768,1.512638
SO,7.364621,-3.5616305,1.5613346
SO,7.0690823,-2.1516821,1.3408277
SO,6.8375545,-2.7168214,1.6140157
SO,7.2095966,-2.5786345,1.4878042
SO,8.631226,-2.6289062,1.6427301
SO,7.615381,-2.5168133,1.320255
SO,7.0950165,-2.7795186,2.4429054
SO,7.441503,-2.4882026,1.2535996
SO,8.547804,-2.646024,1.6346579
SO,7.5800843,-2.4027436,1.3063058
SO,8.583247,-2.6469464,1.6434132
SO,6.9646115,-1.9314829,1.5548646
SO,8.772916,-2.6398568,1.6227543
SO,6.8798547,-2.483315,1.3055248
SO,7.674043,-2.767389,1.7558225
SO,7.1949735,-2.0714104,1.4716346
SO,7.3924217,-2.7831333,2.0227818
SO,7.3318114,-2.3920453,1.6734948
SO,7.963259,-2.9223306,2.026867
SO,4.913288,-5.2440248,7.2323217
SO,4.908369,-5.016126,7.596086
SO,3.455752,-4.6132903,8.266594
SO,4.0711684,-4.899561,8.05392
SO,3.9450235,-5.3636484,7.199516
SO,4.7056856,-4.233869,8.151113
SO,3.3533113,-4.6006207,8.152765
SO,5.770594,-5.087683,8.352588
SO,5.663665,-5.292408,8.479201
SO,4.4032364,-5.072354,7.80601
SO,5.278729,-5.34125,8.140305
SO,5.329926,-5.2512794,7.68544
SO,3.9338837,-5.0703325,9.254256
SO,5.3242445,-5.2760057,7.5647697
SO,3.8653188,-5.1414623,8.37129
SO,3.5626485,-4.7900033,7.4054327
SO,4.8197436,-5.72074,8.388854
SO,5.606337,-5.7445345,6.877702
SO,4.628079,-5.6835313,8.84123
SO,4.8187003,-5.765233,8.099675
SO,6.1235704,-3.1497228,3.5912812
SO,5.531602,-5.755655,8.396565
SO,5.6825056,-3.2485654,2.7121818
SO,4.991443,-5.3602386,7.4232726
SO,5.9053082,-2.924795,3.4747875
SO,5.870674,-5.9872136,7.686838
SO,5.740609,-3.1689825,3.885191
SO,5.8901186,-5.5458984,8.032182
SO,5.8561435,-4.150336,4.035837
SO,4.3082824,-6.0010824,7.9563975
SO,5.7196813,-2.7533777,2.8751554
SO,5.4902153,-5.672609,7.524836
SO,5.817762,-3.0728137,2.6859045
