Oil_Type,Feature 1,Feature 2,Feature 3
SO,2.051075,1.3266298,10.219142
SO,2.1069565,1.1575104,9.162131
SO,-0.108928874,3.363941,10.906959
SO,1.4898846,1.3779582,8.270766
SO,1.0935221,2.5346913,10.08716
SO,3.5473766,-1.0023165,7.4751854
SO,4.366228,-0.24925031,7.8092375
SO,3.0545554,-1.1273624,7.239811
SO,3.3457837,-0.56465757,6.960182
SO,3.6203978,-0.7308897,7.404334
SO,4.168304,-2.1169665,8.053898
SO,3.820677,-1.3306093,7.3664947
SO,3.3056967,-0.38272327,7.98805
SO,3.8912852,-1.0376601,7.4062138
SO,4.152473,-2.0344014,7.9952393
SO,3.7532835,-1.2024416,7.313669
SO,4.172746,-2.1116283,8.038266
SO,3.0534306,-0.96798766,7.418643
SO,4.221379,-2.2142916,8.103886
SO,3.3422832,-0.52636427,6.91944
SO,4.0517488,-1.032411,7.5241075
SO,3.1429787,-1.0432422,7.423395
SO,3.6839566,-0.9173368,7.719807
SO,3.5202885,-0.94730395,7.632224
SO,4.045884,-1.2360604,7.9723315
SO,2.0232394,3.7219257,12.29719
SO,1.6869112,3.2103264,10.879287
SO,-0.121794075,4.019132,10.554074
SO,1.1136675,3.8742313,10.757056
SO,1.785257,4.1537395,9.824364
SO,0.7055506,3.2642863,11.128849
SO,-0.046612293,4.341827,10.41073
SO,2.7432575,2.8386788,10.558794
SO,2.8522775,3.142835,10.609834
SO,1.315506,3.696671,10.631676
SO,2.3660629,3.4744856,10.556832
SO,1.8011806,3.0455215,11.512947
SO,0.5506677,4.3839383,9.360001
SO,2.078877,3.1383605,11.740968
SO,0.7658212,4.526911,10.818786
SO,0.60515475,4.4610257,11.342021
SO,2.0386477,3.7555408,11.274822
SO,3.0575101,3.4748547,12.048384
SO,0.7996839,3.9017568,12.253597
SO,1.9374081,4.268831,11.200384
SO,2.7372124,0.95620424,8.4685335
SO,2.6998537,4.2051473,10.98184
SO,1.9767169,1.6072551,7.712277
SO,1.8971363,3.5420613,11.346927
SO,2.243773,0.97226334,8.311058
SO,2.9974694,3.7523227,10.322982
SO,2.5900922,0.9001343,9.21105
SO,3.0131042,3.1495242,11.561093
SO,2.895102,2.3253176,8.419632
SO,1.87051,4.8592205,11.258979
SO,2.296157,0.8480771,7.687018
SO,2.3906085,3.663924,12.079243
SO,2.4725623,1.48774,7.6599917
SO,1.4784498,4.2469378,10.892359
SO,1.4798894,1.4132825,7.5288877
SO,1.9564589,3.9124556,10.933833
SO,2.258343,0.80900776,7.3447466
SO,1.0485984,4.184568,10.407552
SO,2.2353857,0.85063756,7.810991
SO,1.1163439,4.606326,10.240134
PO,-5.0058885,0.6618022,-0.89572436
PO,-5.4290514,0.58167446,-0.588543
PO,-5.106626,0.553239,-0.4415779
PO,-5.1028852,0.62790704,-0.6442307
PO,-5.4923253,0.54565895,-0.50815713
PO,-5.3081484,0.31784755,-0.6628435
PO,-5.506223,0.5114625,-0.6649648
PO,-5.031748,0.7810956,-0.43810654
PO,-5.2190657,0.40763405,-0.3705758
PO,-5.0444593,0.2952512,-1.0099267
PO,-4.749741,0.14708446,-0.70014894
PO,-4.686593,0.09715084,-0.73821455
PO,-4.9192405,0.057195146,-0.81013256
PO,-4.8096075,0.12381271,-0.6219225
PO,-4.8442817,0.07838672,-0.7068066
PO,-4.913748,0.34372148,-0.93156797
PO,-4.819074,0.21600014,-0.76105976
PO,-4.6974797,0.22331402,-0.7449079
PO,-4.716168,0.455468,-0.70975965
PO,-4.6172595,0.109337546,-0.76558316
PO,-1.4122686,13.282568,-4.1336145
PO,2.1865094,10.902311,-5.5065594
PO,3.6227198,11.898585,-3.0737345
PO,1.8641965,12.126234,-4.214666
PO,-1.3185147,13.165232,-4.0878577
PO,3.590705,10.783606,-4.0441794
PO,1.0927435,10.776872,-5.3799267
PO,1.1472617,11.288303,-5.194499
PO,-0.18788818,12.1225,-4.685432
PO,1.264593,11.27861,-5.1500974
PO,1.8515879,9.432524,-5.030782
PO,-0.86179197,12.103561,-4.8319902
PO,2.328028,13.286651,-4.0192885
PO,0.46436772,14.169704,-4.0788145
PO,0.47574195,11.025554,-5.0747294
PO,-1.4996994,9.392937,-4.2852745
PO,-0.4932293,9.918065,-0.61857665
PO,-0.42706564,12.038547,-4.4150157
PO,-1.3344306,11.688374,-0.67045665
PO,-0.2703061,11.026988,-4.8175116
PO,2.770614,11.616157,-5.2811174
PO,-0.63699096,12.183832,-5.967613
PO,2.6252518,12.235778,-4.318228
PO,-0.5796875,10.773042,-5.176465
PO,2.2544289,11.745442,-4.868658
PO,-0.4888883,10.433152,-6.3177166
PO,-1.5555689,11.630534,-4.7436147
PO,-2.0329418,11.732659,-3.5739257
PO,1.92916,11.947216,-5.945406
PO,1.0598097,12.592934,-5.194727
PO,1.1260161,9.720117,-6.2053895
PO,1.6864846,13.139743,-4.478543
PO,0.39342958,13.243628,-4.725221
PO,3.1322186,9.810142,-4.566595
PO,0.69045395,14.12533,-2.3550017
PO,2.5686831,12.859766,-5.0219355
PO,0.45009476,9.408424,-5.316976
PO,-0.36548796,9.649077,-5.0092683
PO,0.99397814,12.997085,-3.8599043
PO,3.8643641,11.987245,-3.8283095
PO,2.9915657,13.130435,-2.6794252
PO,1.1636307,11.1174345,-6.0327086
PO,-1.0367633,11.124508,-6.0263777
PO,0.9052609,12.63833,-5.8373046
PO,2.7568252,10.709989,-5.57973
PO,2.591627,13.726478,-3.8507082
PO,2.3246102,10.520985,-4.917089
PO,2.7631984,8.676357,-3.1918933
PO,-0.032245934,12.887436,-3.996042
PO,-1.0320028,11.417159,-3.6971123
PO,1.5368712,13.803603,-2.8198562
PO,-0.69764954,10.032106,-3.9004614
PO,-0.2064562,12.908665,-2.9579098
PO,-1.4296278,10.576069,-3.3150077
PO,0.11750089,10.895965,-4.319816
PO,0.49699503,14.0739765,-2.2167647
PO,-0.00046765697,12.209698,-3.5258534
PO,2.9824727,11.539433,-2.743861
PO,-0.8102677,10.859903,-4.152569
PO,-1.400659,11.340685,-2.5306108
PO,-6.812953,3.9950478,-0.30239516
PO,-7.4982624,3.0267498,-0.013326927
PO,-6.5300665,3.4491131,0.07773918
PO,-6.8203588,2.773931,-0.7832436
PO,-7.4248915,3.2533798,-0.114699714
PO,-7.4910016,3.3549576,-0.97068137
PO,-7.49246,3.1568131,-0.9341709
PO,-7.3018937,2.9944952,0.080090486
PO,-7.377671,2.6584058,-0.14282055
PO,-6.9233418,2.7998087,-0.27224755
PO,-7.9077845,3.875704,-0.24625236
PO,-7.7019405,2.6704946,1.2147754
PO,-6.6057606,3.5628803,0.11177368
PO,-7.615422,3.144557,0.585526
PO,-7.4419208,3.238564,0.3906958
PO,-6.731136,3.6163688,0.352951
PO,-7.540641,3.400404,0.23271284
PO,-6.827841,2.5878842,-1.1187221
PO,-7.430249,2.967337,-0.51381993
PO,-6.4798,3.0164094,-0.31207445
PO,2.1843035,10.405597,-3.46647
PO,0.62098306,9.838191,-4.525323
PO,0.3969471,12.128734,-3.8375099
PO,-0.32595095,12.4627695,-2.499625
PO,0.7603046,11.032166,-3.0562437
