Feature 1,Feature 2,Oil_Type
17.191202,-2.4860163,SO
17.069696,-3.0856485,SO
17.060282,-2.7921896,SO
16.488525,-3.32036,SO
24.568533,-9.10631,SO
24.475826,-9.03799,SO
23.198729,-9.064549,SO
23.803465,-9.144937,SO
23.320887,-9.659453,SO
24.457916,-8.234802,SO
23.07815,-8.992461,SO
25.211119,-9.301291,SO
25.172075,-9.583487,SO
24.081085,-9.199384,SO
24.689228,-9.6984215,SO
24.818338,-9.396148,SO
25.83784,-9.181771,SO
24.766779,-9.311985,SO
23.617008,-9.456532,SO
23.5722,-8.809683,SO
24.339552,-10.015272,SO
25.594175,-10.218378,SO
23.912584,-10.315264,SO
24.393381,-9.963905,SO
19.611298,-4.228131,SO
24.840727,-10.185845,SO
18.605242,-4.1470404,SO
24.55117,-9.381119,SO
19.4678,-4.1099043,SO
25.078865,-10.423144,SO
19.846014,-4.3927364,SO
25.2679,-9.896614,SO
20.152653,-5.4773355,SO
23.949198,-10.142243,SO
18.945934,-3.7919033,SO
25.01012,-9.895715,SO
18.651217,-3.8882058,SO
23.960445,-9.630505,SO
18.740309,-4.2723026,SO
24.343063,-9.677324,SO
18.398594,-3.4670918,SO
23.763514,-9.42346,SO
18.560076,-3.3145869,SO
23.3647,-9.543666,SO
-22.826889,-5.2090483,PO
-22.89942,-4.92779,PO
-22.807846,-5.030206,PO
-22.837276,-5.026525,PO
-22.941793,-4.924836,PO
-22.898884,-4.949714,PO
-22.984093,-4.956493,PO
-22.93714,-4.935973,PO
-22.894632,-5.0498967,PO
-22.73778,-5.118856,PO
-22.202509,-5.3945293,PO
-22.187117,-5.411356,PO
-22.288704,-5.3537045,PO
-22.296038,-5.302425,PO
-22.348959,-5.3348317,PO
-22.26942,-5.2469325,PO
-22.273182,-5.3415523,PO
-22.268476,-5.3257113,PO
-22.337482,-5.2174263,PO
-22.23654,-5.4063015,PO
0.63964343,-22.390383,PO
2.2156603,-27.231075,PO
1.6828142,-24.820108,PO
0.99407214,-25.75612,PO
1.0519464,-23.367912,PO
0.6107674,-27.559893,PO
1.8099787,-25.222939,PO
1.9948723,-25.762335,PO
1.0351392,-23.938717,PO
2.03761,-25.841038,PO
1.5067725,-26.35863,PO
-0.042181734,-23.781012,PO
2.4363725,-24.83831,PO
0.7699985,-26.639547,PO
1.9010103,-24.760477,PO
1.5138743,-22.278913,PO
-1.2780737,-22.115114,PO
0.7089478,-23.520487,PO
-0.1563698,-21.65666,PO
-0.022871058,-23.583258,PO
2.8587472,-26.94373,PO
3.122761,-24.93272,PO
1.3477077,-26.811039,PO
-0.35254484,-22.932978,PO
2.4091687,-26.400015,PO
3.3298368,-27.484047,PO
0.14892271,-22.90629,PO
-1.4643321,-22.869953,PO
2.7801988,-26.417446,PO
1.6715745,-26.048164,PO
2.1993902,-28.104254,PO
3.0660903,-25.58722,PO
-0.6692472,-22.558676,PO
0.2479659,-28.563944,PO
1.9375123,-23.274601,PO
3.3278077,-26.385796,PO
1.6377333,-28.028952,PO
1.1956034,-24.534761,PO
0.4956218,-24.100954,PO
2.7380393,-24.862343,PO
2.8264365,-23.99167,PO
2.5283778,-25.970163,PO
1.1073536,-22.87409,PO
3.5807304,-25.511179,PO
2.4895914,-27.474604,PO
1.76171,-24.141006,PO
1.9685078,-26.922993,PO
1.081036,-27.566177,PO
