Feature 1,Feature 2,Oil_Type
-22.434992,5.045106,PO
-22.24536,5.1505375,PO
-22.273418,5.225183,PO
-22.466919,4.97189,PO
-22.31947,5.1496606,PO
-22.541323,5.0969214,PO
-22.328289,5.221917,PO
-22.256271,5.0705,PO
-22.149813,5.3646536,PO
-21.970608,5.3714013,PO
-21.933222,5.4174895,PO
-22.031557,5.3609176,PO
-22.004364,5.3339453,PO
-21.995346,5.3400693,PO
-22.082968,5.3542037,PO
-22.028791,5.354826,PO
-21.966867,5.4058948,PO
-22.020657,5.3820777,PO
-21.910713,5.4494915,PO
-2.9054997,27.613918,PO
1.8895468,27.96626,PO
2.3320348,26.376799,PO
0.22899503,27.314196,PO
-2.7209878,27.568426,PO
3.178882,26.568718,PO
0.8293706,27.793856,PO
0.73196346,27.717415,PO
-1.3808026,27.104393,PO
0.7856569,27.68581,PO
1.5649259,27.172205,PO
-1.884951,26.601524,PO
-0.7364293,28.973063,PO
-3.1004136,26.726393,PO
0.21242926,27.728666,PO
3.4874556,27.49528,PO
-0.65812445,22.59283,PO
-1.4824839,26.823221,PO
-2.2731097,23.235054,PO
-0.7475388,27.517473,PO
1.494793,28.520594,PO
0.83367443,29.26159,PO
-0.12364761,27.897057,PO
-0.9860671,27.950378,PO
1.024435,28.064323,PO
1.9590822,29.179562,PO
-2.2347503,26.691383,PO
-2.0217333,27.592379,PO
0.8546713,28.564459,PO
-0.1807318,28.063875,PO
2.5370398,28.48734,PO
-0.66015494,28.624727,PO
-1.6754771,27.941515,PO
3.5349934,26.061707,PO
-3.1604474,25.699709,PO
0.14521484,29.127018,PO
2.543454,27.535122,PO
1.6809688,26.891068,PO
-1.3034772,27.605047,PO
2.573209,26.69114,PO
-1.8520547,28.72594,PO
1.1768707,28.124826,PO
1.4627469,29.433376,PO
-0.06279148,28.543108,PO
2.3306103,27.928833,PO
-0.9169736,29.338392,PO
1.8925991,27.541552,PO
2.9107387,23.951015,PO
-1.1327307,26.919067,PO
-1.542873,25.899937,PO
-2.5905097,25.849329,PO
-1.6059532,25.366922,PO
-0.9945753,26.654488,PO
-1.9837116,25.188396,PO
-0.46912864,27.094038,PO
-3.136365,25.57875,PO
-0.97695524,26.377457,PO
1.9075781,25.988571,PO
-1.930079,25.967512,PO
-1.8254933,24.905382,PO
-25.548405,6.5819745,PO
-25.499998,5.7830405,PO
-25.21777,6.399759,PO
-24.793554,5.6669803,PO
-25.55777,5.8307743,PO
-25.73444,5.471059,PO
-25.538088,5.3348875,PO
-25.403032,5.807749,PO
-25.195753,5.586,PO
-25.01858,5.7279935,PO
-26.19929,6.05845,PO
-25.76795,4.8856215,PO
-25.315924,6.414144,PO
-25.846922,5.7280602,PO
-25.698662,5.8253336,PO
-25.431562,6.4382854,PO
-25.78416,5.8945546,PO
-24.696508,5.437375,PO
-25.374626,5.522123,PO
-24.89772,6.105165,PO
1.4887711,25.743773,PO
1.4703606,26.067522,PO
-0.6577737,26.513126,PO
-0.9730744,25.952936,PO
-0.01887188,25.404987,PO
-1.0464736,25.646202,PO
1.0685549,25.286964,PO
-0.8372832,25.605198,PO
-0.7649099,25.752476,PO
-0.01896819,25.818775,PO
0.49268568,25.234102,PO
-0.83396566,25.491869,PO
-0.27454883,25.929413,PO
-0.4204801,25.494034,PO
-0.5454249,25.59871,PO
0.29417083,25.179384,PO
0.7137289,26.323069,PO
-1.3029697,23.97525,PO
-0.06436515,25.425467,PO
-0.058447175,25.55109,PO
2.0797784,23.494654,PO
0.2740893,23.668158,PO
0.69070613,25.383537,PO
1.0419863,24.491451,PO
-1.7221928,24.523506,PO
0.60659254,24.561092,PO
1.0707308,25.790634,PO
1.0089234,24.910023,PO
-0.1745763,25.354168,PO
0.15250316,24.900768,PO
1.0114788,26.596735,PO
0.46909732,25.35918,PO
0.75011134,25.521646,PO
-0.39724848,24.955517,PO
-0.40030673,25.323421,PO
-1.2638512,25.04807,PO
0.13489485,26.008589,PO
0.20131837,24.483213,PO
0.08987865,25.061989,PO
-0.23506133,25.241049,PO
3.8246145,26.412804,PO
2.7700284,23.664131,PO
2.8053157,24.86492,PO
-1.4648541,22.860682,PO
0.92845863,26.54257,PO
2.3952239,25.551645,PO
1.6177548,24.875324,PO
-2.491671,24.096804,PO
-0.48018405,24.444859,PO
-0.36527598,23.959879,PO
2.9602888,25.417072,PO
0.46812627,24.692163,PO
-0.76601976,23.981953,PO
-0.52251804,24.55823,PO
0.5540253,23.595034,PO
2.213083,25.722597,PO
0.43555236,22.937603,PO
1.4611815,24.738108,PO
1.1387494,23.546385,PO
-0.92729,25.046139,PO
3.5280125,24.730043,PO
2.947156,24.515022,PO
-0.9582008,24.763012,PO
0.49513656,24.073114,PO
-0.96779376,24.428646,PO
1.2970206,24.801376,PO
-0.72897613,23.385067,PO
0.8226504,24.051598,PO
1.5227624,25.397335,PO
0.18352278,23.262459,PO
1.5144901,24.19303,PO
0.018067913,24.900614,PO
2.174142,24.812624,PO
-0.2139823,24.30309,PO
1.7497882,23.844519,PO
2.3860767,25.109863,PO
0.8757686,24.56294,PO
-0.31795362,24.466356,PO
-0.3192875,25.0174,PO
0.23266046,24.55851,PO
-3.0219107,24.898325,PO
1.0697764,26.687845,PO
0.49692833,26.809832,PO
0.36742362,26.824646,PO
0.73906994,25.82217,PO
-1.7851251,26.027082,PO
-0.7664513,26.675797,PO
0.06772843,26.834469,PO
-0.7932673,25.74148,PO
0.40998393,27.076128,PO
2.1240718,26.45147,PO
-0.1711072,26.756723,PO
-0.3430315,26.388123,PO
-0.5264149,25.460564,PO
-0.7382618,26.740479,PO
1.452415,22.500347,PO
1.0415773,25.798903,PO
0.45845887,25.599682,PO
-2.0140903,24.383953,PO
0.07239224,26.303076,PO
3.4397776,-2.1791046,GNO
5.1014776,-2.434997,GNO
5.7643332,-1.9675684,GNO
4.099219,-2.614515,GNO
5.3453455,-1.3007238,GNO
5.1734524,-2.989482,GNO
4.4415174,-2.0882964,GNO
3.671463,-0.3348029,GNO
4.6056066,-1.9793253,GNO
5.005071,-1.7122003,GNO
4.885883,-1.5721741,GNO
4.7022047,-1.9370302,GNO
4.5362105,-2.0004163,GNO
5.272897,-1.8892596,GNO
4.7912116,-2.9132807,GNO
5.6408224,-1.8514738,GNO
4.914885,-2.0186656,GNO
4.8078165,-1.7604178,GNO
4.9296107,-2.159946,GNO
5.406132,-2.5147622,GNO
5.197188,-1.0247463,GNO
5.465954,-0.992703,GNO
5.830199,-1.6709776,GNO
4.343115,-1.0549805,GNO
6.8195963,-3.7980902,GNO
6.564067,-3.666118,GNO
6.622682,-4.7149515,GNO
6.579472,-4.4189034,GNO
6.8268614,-4.11115,GNO
6.844745,-3.913199,GNO
6.690536,-4.8623796,GNO
6.2830734,-4.1873107,GNO
6.457703,-4.418181,GNO
6.2816663,-3.9633412,GNO
7.1470065,-4.1232886,GNO
6.1497097,-4.341675,GNO
6.285763,-4.5026393,GNO
6.5452075,-4.126579,GNO
6.4309416,-4.308664,GNO
6.434633,-4.2909985,GNO
5.581265,-0.6210565,GNO
4.7921977,-0.4300457,GNO
3.8572524,-2.2290065,GNO
3.7814531,-1.1473908,GNO
4.7495894,-2.7104738,GNO
4.649525,-0.53701866,GNO
3.511176,-1.8290867,GNO
4.253076,-3.4064677,GNO
2.091389,-0.7566167,GNO
2.6985893,-1.4655349,GNO
6.2818637,-1.5253077,GNO
5.6597795,-5.3801303,GNO
4.9779367,-3.5087402,GNO
4.2117333,-4.223083,GNO
6.833576,-2.6084306,GNO
5.298664,-2.5235264,GNO
7.1716905,-3.2932312,GNO
4.5643983,-3.6652114,GNO
4.6294365,-3.4613338,GNO
3.7595072,-4.602332,GNO
-0.38754624,-4.437104,GNO
-0.65711784,-3.4156253,GNO
1.4285014,-5.3293104,GNO
-0.43531707,-5.2073245,GNO
0.7993604,-3.9663994,GNO
-2.0720909,-6.0135546,GNO
0.21750279,-4.5947795,GNO
0.620439,-3.721564,GNO
0.8790451,-4.4784045,GNO
-0.6904868,-2.6913242,GNO
1.4317914,-4.686188,GNO
0.10523035,-6.013144,GNO
-0.6123052,-5.52432,GNO
-1.3936175,-4.6400537,GNO
-0.9747517,-6.4968114,GNO
-0.117084265,-6.844446,GNO
0.02784901,-6.0926642,GNO
-1.0359026,-4.1487007,GNO
-2.269889,-5.9734764,GNO
-0.8522463,-7.5362315,GNO
1.3121132,-8.547491,GNO
-0.68476194,-4.4243665,GNO
-0.48230442,-5.142695,GNO
-0.20398812,-2.1886582,GNO
0.25257736,-4.5669546,GNO
1.421604,-7.4333115,GNO
0.200265,-0.90518045,GNO
-1.6831226,-5.1734877,GNO
0.3321739,-5.231637,GNO
-1.0230621,-5.4688873,GNO
0.613765,-4.3401594,GNO
-1.3265254,-3.8403661,GNO
-0.038203403,-4.13253,GNO
2.1910112,-7.344974,GNO
0.9264592,-6.160919,GNO
2.317671,-5.256054,GNO
1.0608461,-5.2348943,GNO
0.57582575,-5.5836377,GNO
0.78660434,-6.246857,GNO
-0.071070194,-9.205647,GNO
0.5213809,-4.7573223,GNO
-2.2106874,-4.1134977,GNO
0.05583414,-7.61715,GNO
0.70547915,-5.2961297,GNO
0.85689265,-6.4200892,GNO
-0.6359345,-6.5404787,GNO
-0.8193272,-5.595577,GNO
0.6368305,-5.323661,GNO
0.2797199,-5.372906,GNO
0.38323566,-5.4621925,GNO
-1.0719624,-6.6212277,GNO
0.18553124,-6.0020604,GNO
0.3847364,-7.331321,GNO
0.7463179,-7.6259365,GNO
-0.121172965,-4.6071534,GNO
0.40347892,-6.3850155,GNO
