dataset,true_label,cluster,count,adjusted_rand_index,normalized_mutual_info
oils,GNO,0,200,0.8674531601260702,0.8969049740007368
oils,GNO,1,0,0.8674531601260702,0.8969049740007368
oils,GNO,2,0,0.8674531601260702,0.8969049740007368
oils,GNO,3,0,0.8674531601260702,0.8969049740007368
oils,GNO,4,0,0.8674531601260702,0.8969049740007368
oils,PO,0,0,0.8674531601260702,0.8969049740007368
oils,PO,1,40,0.8674531601260702,0.8969049740007368
oils,PO,2,160,0.8674531601260702,0.8969049740007368
oils,PO,3,0,0.8674531601260702,0.8969049740007368
oils,PO,4,0,0.8674531601260702,0.8969049740007368
oils,SO,0,0,0.8674531601260702,0.8969049740007368
oils,SO,1,0,0.8674531601260702,0.8969049740007368
oils,SO,2,0,0.8674531601260702,0.8969049740007368
oils,SO,3,200,0.8674531601260702,0.8969049740007368
oils,SO,4,0,0.8674531601260702,0.8969049740007368
oils,SOYO,0,18,0.8674531601260702,0.8969049740007368
oils,SOYO,1,0,0.8674531601260702,0.8969049740007368
oils,SOYO,2,0,0.8674531601260702,0.8969049740007368
oils,SOYO,3,0,0.8674531601260702,0.8969049740007368
oils,SOYO,4,182,0.8674531601260702,0.8969049740007368
oils,VO,0,0,0.8674531601260702,0.8969049740007368
oils,VO,1,200,0.8674531601260702,0.8969049740007368
oils,VO,2,0,0.8674531601260702,0.8969049740007368
oils,VO,3,0,0.8674531601260702,0.8969049740007368
oils,VO,4,0,0.8674531601260702,0.8969049740007368
chips,GNO C,0,96,0.11815751580119453,0.2158210144640138
chips,GNO C,1,0,0.11815751580119453,0.2158210144640138
chips,GNO C,2,50,0.11815751580119453,0.2158210144640138
chips,GNO C,3,0,0.11815751580119453,0.2158210144640138
chips,GNO C,4,34,0.11815751580119453,0.2158210144640138
chips,PO C,0,90,0.11815751580119453,0.2158210144640138
chips,PO C,1,7,0.11815751580119453,0.2158210144640138
chips,PO C,2,7,0.11815751580119453,0.2158210144640138
chips,PO C,3,33,0.11815751580119453,0.2158210144640138
chips,PO C,4,43,0.11815751580119453,0.2158210144640138
chips,SO C,0,49,0.11815751580119453,0.2158210144640138
chips,SO C,1,21,0.11815751580119453,0.2158210144640138
chips,SO C,2,38,0.11815751580119453,0.2158210144640138
chips,SO C,3,0,0.11815751580119453,0.2158210144640138
chips,SO C,4,72,0.11815751580119453,0.2158210144640138
chips,SOYO C,0,46,0.11815751580119453,0.2158210144640138
chips,SOYO C,1,17,0.11815751580119453,0.2158210144640138
chips,SOYO C,2,66,0.11815751580119453,0.2158210144640138
chips,SOYO C,3,0,0.11815751580119453,0.2158210144640138
chips,SOYO C,4,51,0.11815751580119453,0.2158210144640138
chips,VO C,0,62,0.11815751580119453,0.2158210144640138
chips,VO C,1,0,0.11815751580119453,0.2158210144640138
chips,VO C,2,0,0.11815751580119453,0.2158210144640138
chips,VO C,3,112,0.11815751580119453,0.2158210144640138
chips,VO C,4,6,0.11815751580119453,0.2158210144640138
