dataset,model,split,accuracy,recall_weighted,precision_weighted,f1_weighted,tree_depth,leaf_count,selected_feature_count,seed
chips_paper_subtracted,baseline,test,0.7222222222222222,0.7222222222222222,0.7234769728868845,0.7223495591719891,13,39,38,4
chips_paper_subtracted,pre_pruned,test,0.7888888888888889,0.7888888888888889,0.7911274690222059,0.7872741345390784,6,17,16,4
chips_paper_subtracted,post_pruned,test,0.825925925925926,0.825925925925926,0.8251154644759412,0.8251008350768275,6,8,7,4
chips_paper_subtracted,baseline,test,0.7481481481481481,0.7481481481481481,0.7484455413545255,0.747115974102283,14,43,42,5
chips_paper_subtracted,pre_pruned,test,0.7592592592592593,0.7592592592592593,0.761197468642748,0.7593295193376461,6,16,15,5
chips_paper_subtracted,post_pruned,test,0.8111111111111111,0.8111111111111111,0.8105854877836302,0.8103944621375814,5,7,6,5
chips_paper_subtracted,baseline,test,0.7703703703703704,0.7703703703703704,0.7727395316074561,0.7714252241534616,11,42,39,6
chips_paper_subtracted,pre_pruned,test,0.7888888888888889,0.7888888888888889,0.7936464702734958,0.7876953244439718,6,18,16,6
chips_paper_subtracted,post_pruned,test,0.8037037037037037,0.8037037037037037,0.801761777692255,0.8016359499925952,4,8,7,6
chips_paper_subtracted,baseline,test,0.774074074074074,0.774074074074074,0.7683946826400763,0.770013919559175,11,45,44,7
chips_paper_subtracted,pre_pruned,test,0.7851851851851852,0.7851851851851852,0.7855561105561105,0.7812185555973311,6,17,16,7
chips_paper_subtracted,post_pruned,test,0.774074074074074,0.774074074074074,0.7717769917404349,0.7720661036680454,5,7,6,7
chips_paper_subtracted,baseline,test,0.7777777777777778,0.7777777777777778,0.7830372437313491,0.7782697427099017,11,38,37,8
chips_paper_subtracted,pre_pruned,test,0.7703703703703704,0.7703703703703704,0.7777347323110034,0.7722302672745152,6,15,14,8
chips_paper_subtracted,post_pruned,test,0.8111111111111111,0.8111111111111111,0.8151232833214257,0.8121416179211611,5,7,6,8
chips_paper_subtracted,baseline,test,0.7962962962962963,0.7962962962962963,0.7928547690262546,0.7935237554394243,10,43,42,9
chips_paper_subtracted,pre_pruned,test,0.7777777777777778,0.7777777777777778,0.7753610044374692,0.7730083186248545,6,15,14,9
chips_paper_subtracted,post_pruned,test,0.774074074074074,0.774074074074074,0.7695265942634364,0.7685689260157346,4,7,6,9
chips_paper_and_potato_subtracted,baseline,test,0.7555555555555555,0.7555555555555555,0.7572573397672568,0.7543135999091268,9,45,44,0
chips_paper_and_potato_subtracted,pre_pruned,test,0.8333333333333334,0.8333333333333334,0.8347243236499968,0.8324873045596842,4,13,12,0
chips_paper_and_potato_subtracted,post_pruned,test,0.7962962962962963,0.7962962962962963,0.8036855065094886,0.788908091421132,3,6,5,0
chips_paper_and_potato_subtracted,baseline,test,0.737037037037037,0.737037037037037,0.7284226783905686,0.7314598768555414,10,40,37,1
chips_paper_and_potato_subtracted,pre_pruned,test,0.7666666666666667,0.7666666666666667,0.7714180511763279,0.7632722965292273,4,13,11,1
chips_paper_and_potato_subtracted,post_pruned,test,0.7962962962962963,0.7962962962962963,0.7934267040149393,0.7899002802515082,4,6,4,1
chips_paper_and_potato_subtracted,baseline,test,0.7555555555555555,0.7555555555555555,0.7553446413823771,0.7553999510957411,12,40,38,2
chips_paper_and_potato_subtracted,pre_pruned,test,0.7703703703703704,0.7703703703703704,0.7741923639056718,0.7693399247617994,4,10,8,2
chips_paper_and_potato_subtracted,post_pruned,test,0.7925925925925926,0.7925925925925926,0.793005526967791,0.7927472443720407,5,7,5,2
chips_paper_and_potato_subtracted,baseline,test,0.7925925925925926,0.7925925925925926,0.7908151611812377,0.7907635022514267,10,42,40,3
chips_paper_and_potato_subtracted,pre_pruned,test,0.8407407407407408,0.8407407407407408,0.8415898838004101,0.8406910157057292,4,13,11,3
chips_paper_and_potato_subtracted,post_pruned,test,0.7888888888888889,0.7888888888888889,0.791861211332584,0.786525554432182,3,6,4,3
chips_paper_and_potato_subtracted,baseline,test,0.7777777777777778,0.7777777777777778,0.7795610299481477,0.777874758892356,10,39,37,4
chips_paper_and_potato_subtracted,pre_pruned,test,0.7814814814814814,0.7814814814814814,0.7836399108138239,0.7807504530433855,4,10,9,4
chips_paper_and_potato_subtracted,post_pruned,test,0.7925925925925926,0.7925925925925926,0.7876595744680851,0.7893706801872847,5,6,5,4
chips_paper_and_potato_subtracted,baseline,test,0.7555555555555555,0.7555555555555555,0.7621673857267898,0.7575499703566456,9,39,38,5
chips_paper_and_potato_subtracted,pre_pruned,test,0.7518518518518519,0.7518518518518519,0.7562107535873609,0.7530923990779056,4,9,8,5
chips_paper_and_potato_subtracted,post_pruned,test,0.8111111111111111,0.8111111111111111,0.8180225330225331,0.8123009448427689,5,7,6,5
chips_paper_and_potato_subtracted,baseline,test,0.7814814814814814,0.7814814814814814,0.7790413533834587,0.7795014548399676,11,46,45,6
chips_paper_and_potato_subtracted,pre_pruned,test,0.8037037037037037,0.8037037037037037,0.8093230806199687,0.8013499319017146,4,14,13,6
chips_paper_and_potato_subtracted,post_pruned,test,0.7888888888888889,0.7888888888888889,0.8112017806754649,0.7737960856510347,3,6,5,6
chips_paper_and_potato_subtracted,baseline,test,0.7666666666666667,0.7666666666666667,0.7720875473810177,0.7683722616473094,11,45,43,7
chips_paper_and_potato_subtracted,pre_pruned,test,0.762962962962963,0.762962962962963,0.7608174854598417,0.7606051822625991,4,10,9,7
chips_paper_and_potato_subtracted,post_pruned,test,0.7777777777777778,0.7777777777777778,0.7780596230959427,0.7766449325861646,5,7,6,7
chips_paper_and_potato_subtracted,baseline,test,0.7777777777777778,0.7777777777777778,0.7800720283222118,0.7777753705907943,10,45,43,8
chips_paper_and_potato_subtracted,pre_pruned,test,0.7666666666666667,0.7666666666666667,0.7701757417737893,0.7568772033217407,4,10,8,8
chips_paper_and_potato_subtracted,post_pruned,test,0.762962962962963,0.762962962962963,0.7652832338646722,0.7527943817964183,4,6,4,8
chips_paper_and_potato_subtracted,baseline,test,0.8,0.8,0.7950350012963442,0.7961150111150113,9,43,42,9
chips_paper_and_potato_subtracted,pre_pruned,test,0.8296296296296296,0.8296296296296296,0.8302169394007578,0.8272766580111318,4,13,12,9
chips_paper_and_potato_subtracted,post_pruned,test,0.8111111111111111,0.8111111111111111,0.8058079934940218,0.8068516470997655,4,6,5,9
