dataset,model,wavenumber,selection_count,selection_rate,mean_importance,std_importance
chips,baseline,1656.059,7,0.7,0.032918533145913496,0.034394440001790726
chips,baseline,1121.874,6,0.6,0.10297962221782228,0.0887886276974287
chips,baseline,969.5251,6,0.6,0.04456467531513481,0.04249830955770669
chips,baseline,1245.296,5,0.5,0.015580925727204275,0.020777717301229646
chips,baseline,1304.114,4,0.4,0.017587669402229507,0.02287880182498736
chips,baseline,1654.131,4,0.4,0.015500922620056725,0.022509462887051503
chips,baseline,1418.858,4,0.4,0.013992202893337977,0.022190820897194218
chips,baseline,1655.095,4,0.4,0.013632159571318369,0.02469307125919194
chips,baseline,958.9185,4,0.4,0.01210494147464861,0.018707031992755623
chips,baseline,1486.354,4,0.4,0.010143809436696172,0.01330223422131012
chips,baseline,1485.39,4,0.4,0.008232051548841712,0.010802581385037228
chips,baseline,1660.88,4,0.4,0.008028576059414835,0.013784679478145826
chips,baseline,2789.998,4,0.4,0.007859963447072262,0.010368917009460405
chips,baseline,1251.081,4,0.4,0.007442784088048979,0.010293109037872143
chips,baseline,948.312,4,0.4,0.003609086084576281,0.00532946702740606
chips,baseline,1120.91,3,0.3,0.05074958581680093,0.08173577186058648
chips,baseline,956.99,3,0.3,0.010841667212276484,0.021023085923360857
chips,baseline,2836.281,3,0.3,0.008176197992443091,0.015882057574311246
chips,baseline,2837.245,3,0.3,0.007712978310273994,0.01586926760254266
chips,baseline,1657.023,3,0.3,0.006589924553495526,0.011547620183318223
chips,baseline,2727.323,3,0.3,0.006280976527133176,0.011626372793206462
chips,baseline,1658.952,3,0.3,0.00595383600423674,0.010560291967858074
chips,baseline,946.3835,3,0.3,0.005883210682442809,0.009864734130218428
chips,baseline,1122.838,3,0.3,0.005563578285748298,0.01157023246532095
chips,baseline,2709.002,3,0.3,0.004990847327621501,0.00983231880364396
chips,baseline,1123.802,3,0.3,0.004987633698446789,0.010909208520543459
chips,baseline,876.9587,3,0.3,0.004870910234433843,0.010860852923681519
chips,baseline,1604.955,3,0.3,0.0037009719346675894,0.006208386283116018
chips,baseline,1653.167,3,0.3,0.0032573104999575587,0.005507145091478631
chips,baseline,1226.011,3,0.3,0.0023503649292656386,0.0041881749859796775
chips,baseline,1325.327,3,0.3,0.002162698412698412,0.004928424809027071
chips,baseline,1037.986,3,0.3,0.0006944444444444446,0.0011502994134210374
chips,baseline,1210.583,3,0.3,0.0006613756613756613,0.0010800219324440818
chips,baseline,1244.332,2,0.2,0.007958493024812996,0.01678827899508526
chips,baseline,2839.174,2,0.2,0.007772805397010261,0.01817188670574852
chips,baseline,1303.15,2,0.2,0.007644882902977238,0.017263356541663777
chips,baseline,2835.317,2,0.2,0.005754913181865694,0.014030280258760186
chips,baseline,1657.988,2,0.2,0.005715794709022567,0.01336524210728611
chips,baseline,952.1689,2,0.2,0.005315064773245806,0.014940243570124339
chips,baseline,2840.138,2,0.2,0.005199504276736739,0.01475771632844671
chips,baseline,859.6025,2,0.2,0.004754008466925334,0.01022778828814215
chips,baseline,1301.221,2,0.2,0.00378076747062916,0.009433198290172537
