dataset,model,split,true_label,predicted_label,count
chips_paper_and_potato_subtracted,post_pruned,train,PO,PO,120
chips_paper_and_potato_subtracted,post_pruned,train,PO,SO,0
chips_paper_and_potato_subtracted,post_pruned,train,PO,SOYO,0
chips_paper_and_potato_subtracted,post_pruned,train,PO,VO,4
chips_paper_and_potato_subtracted,post_pruned,train,SO,GNO,8
chips_paper_and_potato_subtracted,post_pruned,train,SO,PO,0
chips_paper_and_potato_subtracted,post_pruned,train,SO,SO,87
chips_paper_and_potato_subtracted,post_pruned,train,SO,SOYO,31
chips_paper_and_potato_subtracted,post_pruned,train,SO,VO,0
chips_paper_and_potato_subtracted,post_pruned,train,SOYO,GNO,13
chips_paper_and_potato_subtracted,post_pruned,train,SOYO,PO,2
chips_paper_and_potato_subtracted,post_pruned,train,SOYO,SO,18
chips_paper_and_potato_subtracted,post_pruned,train,SOYO,SOYO,93
chips_paper_and_potato_subtracted,post_pruned,train,SOYO,VO,0
chips_paper_and_potato_subtracted,post_pruned,train,VO,GNO,0
chips_paper_and_potato_subtracted,post_pruned,train,VO,PO,3
chips_paper_and_potato_subtracted,post_pruned,train,VO,SO,0
chips_paper_and_potato_subtracted,post_pruned,train,VO,SOYO,0
chips_paper_and_potato_subtracted,post_pruned,train,VO,VO,123
chips_paper_and_potato_subtracted,post_pruned,test,GNO,GNO,49
chips_paper_and_potato_subtracted,post_pruned,test,GNO,PO,5
chips_paper_and_potato_subtracted,post_pruned,test,GNO,SO,0
chips_paper_and_potato_subtracted,post_pruned,test,GNO,SOYO,0
chips_paper_and_potato_subtracted,post_pruned,test,GNO,VO,0
chips_paper_and_potato_subtracted,post_pruned,test,PO,GNO,0
chips_paper_and_potato_subtracted,post_pruned,test,PO,PO,52
chips_paper_and_potato_subtracted,post_pruned,test,PO,SO,0
chips_paper_and_potato_subtracted,post_pruned,test,PO,SOYO,0
chips_paper_and_potato_subtracted,post_pruned,test,PO,VO,2
chips_paper_and_potato_subtracted,post_pruned,test,SO,GNO,8
chips_paper_and_potato_subtracted,post_pruned,test,SO,PO,2
chips_paper_and_potato_subtracted,post_pruned,test,SO,SO,30
chips_paper_and_potato_subtracted,post_pruned,test,SO,SOYO,14
chips_paper_and_potato_subtracted,post_pruned,test,SO,VO,0
chips_paper_and_potato_subtracted,post_pruned,test,SOYO,GNO,6
chips_paper_and_potato_subtracted,post_pruned,test,SOYO,PO,1
chips_paper_and_potato_subtracted,post_pruned,test,SOYO,SO,12
chips_paper_and_potato_subtracted,post_pruned,test,SOYO,SOYO,35
chips_paper_and_potato_subtracted,post_pruned,test,SOYO,VO,0
chips_paper_and_potato_subtracted,post_pruned,test,VO,GNO,0
chips_paper_and_potato_subtracted,post_pruned,test,VO,PO,5
chips_paper_and_potato_subtracted,post_pruned,test,VO,SO,0
chips_paper_and_potato_subtracted,post_pruned,test,VO,SOYO,0
chips_paper_and_potato_subtracted,post_pruned,test,VO,VO,49
