dataset,model,split,true_label,predicted_label,count
oils,post_pruned,test,SOYO,GNO,0
oils,post_pruned,test,SOYO,PO,0
oils,post_pruned,test,SOYO,SO,0
oils,post_pruned,test,SOYO,SOYO,60
oils,post_pruned,test,SOYO,VO,0
oils,post_pruned,test,VO,GNO,0
oils,post_pruned,test,VO,PO,0
oils,post_pruned,test,VO,SO,0
oils,post_pruned,test,VO,SOYO,0
oils,post_pruned,test,VO,VO,60
chips,baseline,train,GNO C,GNO C,126
chips,baseline,train,GNO C,PO C,0
chips,baseline,train,GNO C,SO C,0
chips,baseline,train,GNO C,SOYO C,0
chips,baseline,train,GNO C,VO C,0
chips,baseline,train,PO C,GNO C,0
chips,baseline,train,PO C,PO C,126
chips,baseline,train,PO C,SO C,0
chips,baseline,train,PO C,SOYO C,0
chips,baseline,train,PO C,VO C,0
chips,baseline,train,SO C,GNO C,0
chips,baseline,train,SO C,PO C,0
chips,baseline,train,SO C,SO C,126
chips,baseline,train,SO C,SOYO C,0
chips,baseline,train,SO C,VO C,0
chips,baseline,train,SOYO C,GNO C,0
chips,baseline,train,SOYO C,PO C,0
chips,baseline,train,SOYO C,SO C,0
chips,baseline,train,SOYO C,SOYO C,126
chips,baseline,train,SOYO C,VO C,0
chips,baseline,train,VO C,GNO C,0
chips,baseline,train,VO C,PO C,0
chips,baseline,train,VO C,SO C,0
chips,baseline,train,VO C,SOYO C,0
chips,baseline,train,VO C,VO C,126
chips,baseline,test,GNO C,GNO C,27
chips,baseline,test,GNO C,PO C,4
chips,baseline,test,GNO C,SO C,13
chips,baseline,test,GNO C,SOYO C,10
chips,baseline,test,GNO C,VO C,0
chips,baseline,test,PO C,GNO C,6
chips,baseline,test,PO C,PO C,34
chips,baseline,test,PO C,SO C,6
chips,baseline,test,PO C,SOYO C,1
chips,baseline,test,PO C,VO C,7
chips,baseline,test,SO C,GNO C,12
chips,baseline,test,SO C,PO C,3
chips,baseline,test,SO C,SO C,30
chips,baseline,test,SO C,SOYO C,8
chips,baseline,test,SO C,VO C,1
chips,baseline,test,SOYO C,GNO C,5
chips,baseline,test,SOYO C,PO C,4
chips,baseline,test,SOYO C,SO C,14
chips,baseline,test,SOYO C,SOYO C,31
chips,baseline,test,SOYO C,VO C,0
chips,baseline,test,VO C,GNO C,1
chips,baseline,test,VO C,PO C,5
chips,baseline,test,VO C,SO C,0
chips,baseline,test,VO C,SOYO C,1
chips,baseline,test,VO C,VO C,47
chips,pre_pruned,train,GNO C,GNO C,106
chips,pre_pruned,train,GNO C,PO C,0
chips,pre_pruned,train,GNO C,SO C,6
chips,pre_pruned,train,GNO C,SOYO C,14
chips,pre_pruned,train,GNO C,VO C,0
chips,pre_pruned,train,PO C,GNO C,3
chips,pre_pruned,train,PO C,PO C,118
chips,pre_pruned,train,PO C,SO C,3
chips,pre_pruned,train,PO C,SOYO C,2
chips,pre_pruned,train,PO C,VO C,0
chips,pre_pruned,train,SO C,GNO C,14
chips,pre_pruned,train,SO C,PO C,1
chips,pre_pruned,train,SO C,SO C,93
chips,pre_pruned,train,SO C,SOYO C,18
chips,pre_pruned,train,SO C,VO C,0
chips,pre_pruned,train,SOYO C,GNO C,7
chips,pre_pruned,train,SOYO C,PO C,0
chips,pre_pruned,train,SOYO C,SO C,12
chips,pre_pruned,train,SOYO C,SOYO C,104
chips,pre_pruned,train,SOYO C,VO C,3
chips,pre_pruned,train,VO C,GNO C,0
chips,pre_pruned,train,VO C,PO C,8
chips,pre_pruned,train,VO C,SO C,2
chips,pre_pruned,train,VO C,SOYO C,3
chips,pre_pruned,train,VO C,VO C,113
chips,pre_pruned,test,GNO C,GNO C,27
chips,pre_pruned,test,GNO C,PO C,3
chips,pre_pruned,test,GNO C,SO C,11
chips,pre_pruned,test,GNO C,SOYO C,12
chips,pre_pruned,test,GNO C,VO C,1
chips,pre_pruned,test,PO C,GNO C,7
chips,pre_pruned,test,PO C,PO C,38
chips,pre_pruned,test,PO C,SO C,2
chips,pre_pruned,test,PO C,SOYO C,4
chips,pre_pruned,test,PO C,VO C,3
chips,pre_pruned,test,SO C,GNO C,12
chips,pre_pruned,test,SO C,PO C,2
chips,pre_pruned,test,SO C,SO C,30
chips,pre_pruned,test,SO C,SOYO C,9
chips,pre_pruned,test,SO C,VO C,1
chips,pre_pruned,test,SOYO C,GNO C,6
chips,pre_pruned,test,SOYO C,PO C,4
chips,pre_pruned,test,SOYO C,SO C,7
chips,pre_pruned,test,SOYO C,SOYO C,37
chips,pre_pruned,test,SOYO C,VO C,0
chips,pre_pruned,test,VO C,GNO C,0
chips,pre_pruned,test,VO C,PO C,10
chips,pre_pruned,test,VO C,SO C,0
chips,pre_pruned,test,VO C,SOYO C,1
chips,pre_pruned,test,VO C,VO C,43
chips,post_pruned,train,GNO C,GNO C,93
chips,post_pruned,train,GNO C,PO C,10
chips,post_pruned,train,GNO C,SO C,10
chips,post_pruned,train,GNO C,SOYO C,13
chips,post_pruned,train,GNO C,VO C,0
chips,post_pruned,train,PO C,GNO C,4
chips,post_pruned,train,PO C,PO C,114
chips,post_pruned,train,PO C,SO C,4
chips,post_pruned,train,PO C,SOYO C,2
chips,post_pruned,train,PO C,VO C,2
chips,post_pruned,train,SO C,GNO C,10
chips,post_pruned,train,SO C,PO C,9
chips,post_pruned,train,SO C,SO C,90
chips,post_pruned,train,SO C,SOYO C,17
chips,post_pruned,train,SO C,VO C,0
chips,post_pruned,train,SOYO C,GNO C,4
chips,post_pruned,train,SOYO C,PO C,9
chips,post_pruned,train,SOYO C,SO C,15
chips,post_pruned,train,SOYO C,SOYO C,98
chips,post_pruned,train,SOYO C,VO C,0
chips,post_pruned,train,VO C,GNO C,2
chips,post_pruned,train,VO C,PO C,15
chips,post_pruned,train,VO C,SO C,2
chips,post_pruned,train,VO C,SOYO C,0
chips,post_pruned,train,VO C,VO C,107
chips,post_pruned,test,GNO C,GNO C,26
chips,post_pruned,test,GNO C,PO C,3
chips,post_pruned,test,GNO C,SO C,12
chips,post_pruned,test,GNO C,SOYO C,13
chips,post_pruned,test,GNO C,VO C,0
chips,post_pruned,test,PO C,GNO C,7
chips,post_pruned,test,PO C,PO C,43
chips,post_pruned,test,PO C,SO C,3
chips,post_pruned,test,PO C,SOYO C,0
chips,post_pruned,test,PO C,VO C,1
chips,post_pruned,test,SO C,GNO C,7
chips,post_pruned,test,SO C,PO C,7
chips,post_pruned,test,SO C,SO C,29
chips,post_pruned,test,SO C,SOYO C,11
chips,post_pruned,test,SO C,VO C,0
