dataset,ccp_alpha,impurity,tree_depth,leaf_count,node_count,train_accuracy,test_accuracy
chips,0.007692307692307691,0.19003736640038993,9,29,57,0.8777777777777778,0.6037037037037037
chips,0.007768959435626097,0.19780632583601604,9,28,55,0.8698412698412699,0.6074074074074074
chips,0.007936507936507936,0.20574283377252398,9,27,53,0.8650793650793651,0.6037037037037037
chips,0.007990974167444757,0.21373380793996874,8,26,51,0.8603174603174604,0.6111111111111112
chips,0.008175753393144698,0.22190956133311343,8,25,49,0.8555555555555555,0.6185185185185185
chips,0.00817687074829932,0.23008643208141275,8,24,47,0.8507936507936508,0.6222222222222222
chips,0.009768009768009768,0.2398544418494225,8,23,45,0.8428571428571429,0.6185185185185185
chips,0.009876543209876543,0.24973098505929905,8,22,43,0.8317460317460318,0.6148148148148148
chips,0.01017857142857143,0.2599095564878705,8,21,41,0.8269841269841269,0.6185185185185185
chips,0.010203823953823955,0.28031720439551844,7,19,37,0.8142857142857143,0.6259259259259259
chips,0.010215436867964264,0.2905326412634827,7,18,35,0.8047619047619048,0.6296296296296297
chips,0.011462996879663543,0.3019956381431463,7,17,33,0.7968253968253968,0.6444444444444445
chips,0.01239000559420253,0.3143856437373488,7,16,31,0.7888888888888889,0.6444444444444445
chips,0.012507010130059344,0.3268926538674081,7,15,29,0.7825396825396825,0.6481481481481481
chips,0.013209767316860112,0.34010242118426826,7,14,27,0.7825396825396825,0.6481481481481481
chips,0.0134184033118903,0.3669392278080489,6,12,23,0.746031746031746,0.6370370370370371
chips,0.016407505328136313,0.38334673313618517,6,11,21,0.7285714285714285,0.6296296296296297
chips,0.019028811690102003,0.4023755448262872,6,10,19,0.7126984126984127,0.6259259259259259
chips,0.02287093660135825,0.4481174180290037,6,8,15,0.638095238095238,0.5740740740740741
chips,0.02448297614785261,0.4726003941768563,5,7,13,0.6253968253968254,0.5481481481481482
chips,0.027480938038916696,0.500081332215773,5,6,11,0.6126984126984127,0.5444444444444444
chips,0.03256260205997975,0.5652065363357325,3,4,7,0.5476190476190477,0.5037037037037037
chips,0.037465265912539236,0.6026718022482718,2,3,5,0.46984126984126984,0.4185185185185185
chips,0.05912631315123784,0.6617981153995096,1,2,3,0.36984126984126986,0.35185185185185186
chips,0.13820188460049043,0.8,0,1,1,0.2,0.2
chips_paper_subtracted,0.0,0.0,10,41,81,1.0,0.7703703703703704
chips_paper_subtracted,0.0015873015873015873,0.0015873015873015873,10,39,77,0.9968253968253968,0.774074074074074
chips_paper_subtracted,0.0015873015873015873,0.0031746031746031746,10,39,77,0.9968253968253968,0.774074074074074
chips_paper_subtracted,0.002116402116402116,0.005291005291005291,10,38,75,0.9952380952380953,0.774074074074074
chips_paper_subtracted,0.002380952380952381,0.007671957671957672,10,36,71,0.9920634920634921,0.774074074074074
chips_paper_subtracted,0.002380952380952381,0.010052910052910053,10,36,71,0.9920634920634921,0.774074074074074
chips_paper_subtracted,0.002857142857142857,0.01291005291005291,10,35,69,0.9904761904761905,0.7666666666666667
chips_paper_subtracted,0.0030910609857978254,0.01909217488164856,9,33,65,0.9873015873015873,0.762962962962963
chips_paper_subtracted,0.003118908382066277,0.022211083263714838,9,32,63,0.9857142857142858,0.762962962962963
chips_paper_subtracted,0.003133195307108349,0.028477473877931536,9,30,59,0.9825396825396825,0.762962962962963
chips_paper_subtracted,0.003148148148148154,0.03162562202607969,9,29,57,0.9809523809523809,0.762962962962963
chips_paper_subtracted,0.003174603174603175,0.03480022520068287,9,28,55,0.9793650793650793,0.762962962962963
chips_paper_subtracted,0.0037037037037037047,0.03850392890438657,9,27,53,0.9761904761904762,0.762962962962963
chips_paper_subtracted,0.004761904761904762,0.04326583366629133,9,26,51,0.973015873015873,0.762962962962963
chips_paper_subtracted,0.006349206349206349,0.04961504001549768,9,25,49,0.9682539682539683,0.7555555555555555
chips_paper_subtracted,0.006521997160478612,0.05613703717597629,9,24,47,0.9650793650793651,0.7592592592592593
chips_paper_subtracted,0.00657743392297168,0.07586933894489133,7,21,41,0.953968253968254,0.762962962962963
chips_paper_subtracted,0.007797883597883585,0.08366722254277491,7,20,39,0.9507936507936507,0.7814814814814814
chips_paper_subtracted,0.008067427790788445,0.09173465033356336,7,19,37,0.946031746031746,0.7851851851851852
chips_paper_subtracted,0.008102549385373317,0.09983719971893668,7,18,35,0.9412698412698413,0.8
chips_paper_subtracted,0.008163265306122448,0.10800046502505913,7,17,33,0.9349206349206349,0.7962962962962963
chips_paper_subtracted,0.008352229780801208,0.12470492458666155,6,15,29,0.9253968253968254,0.7925925925925926
chips_paper_subtracted,0.009070294784580499,0.13377521937124204,6,14,27,0.919047619047619,0.8
chips_paper_subtracted,0.009122363757588514,0.14289758312883055,6,13,25,0.9142857142857143,0.8037037037037037
chips_paper_subtracted,0.009312169312169312,0.15220975244099985,5,12,23,0.9079365079365079,0.8
chips_paper_subtracted,0.00964927637721755,0.1618590288182174,5,11,21,0.9015873015873016,0.8074074074074075
chips_paper_subtracted,0.01005291005291005,0.17191193887112743,5,10,19,0.8920634920634921,0.7814814814814814
chips_paper_subtracted,0.01165019588836384,0.18356213475949126,5,9,17,0.8873015873015873,0.7851851851851852
chips_paper_subtracted,0.012298462692163484,0.19586059745165474,5,8,15,0.8809523809523809,0.7814814814814814
chips_paper_subtracted,0.013704245629817487,0.20956484308147222,4,7,13,0.8698412698412699,0.7888888888888889
chips_paper_subtracted,0.015384969259061278,0.2249498123405335,4,6,11,0.8634920634920635,0.7925925925925926
chips_paper_subtracted,0.025891254657436386,0.2508410669979699,3,5,9,0.8285714285714286,0.8074074074074075
chips_paper_subtracted,0.033003839778805555,0.28384490677677543,2,4,7,0.765079365079365,0.7111111111111111
chips_paper_subtracted,0.15697912302751016,0.4408240298042856,2,3,5,0.5857142857142857,0.5666666666666667
chips_paper_subtracted,0.17184580432091234,0.6126698341251979,1,2,3,0.4,0.3925925925925926
chips_paper_subtracted,0.1873301658748021,0.8,0,1,1,0.2,0.2
chips_paper_and_potato_subtracted,0.0,0.0,10,40,79,1.0,0.737037037037037
chips_paper_and_potato_subtracted,0.002116402116402116,0.002116402116402116,9,38,75,0.9968253968253968,0.7444444444444445
chips_paper_and_potato_subtracted,0.002116402116402116,0.004232804232804232,9,38,75,0.9968253968253968,0.7444444444444445
chips_paper_and_potato_subtracted,0.0025396825396825392,0.006772486772486772,9,37,73,0.9952380952380953,0.7444444444444445
chips_paper_and_potato_subtracted,0.0027210884353741503,0.009493575207860922,9,36,71,0.9936507936507937,0.7481481481481481
chips_paper_and_potato_subtracted,0.0029629629629629632,0.012456538170823886,9,35,69,0.9904761904761905,0.7518518518518519
chips_paper_and_potato_subtracted,0.0029629629629629637,0.01541950113378685,9,34,67,0.9888888888888889,0.7481481481481481
chips_paper_and_potato_subtracted,0.0031216931216931235,0.018541194255479974,9,33,65,0.9873015873015873,0.7518518518518519
chips_paper_and_potato_subtracted,0.0031242126480221736,0.021665406903502146,9,32,63,0.9857142857142858,0.7518518518518519
chips_paper_and_potato_subtracted,0.0031472359058565907,0.024812642809358736,9,31,61,0.9841269841269841,0.7518518518518519
chips_paper_and_potato_subtracted,0.0031479258370014714,0.027960568646360207,9,30,59,0.9825396825396825,0.7555555555555555
chips_paper_and_potato_subtracted,0.004047619047619048,0.032008187693979256,9,29,57,0.9793650793650793,0.7481481481481481
chips_paper_and_potato_subtracted,0.004232804232804232,0.03624099192678349,9,28,55,0.9761904761904762,0.7444444444444445
chips_paper_and_potato_subtracted,0.00462962962962963,0.04087062155641312,8,27,53,0.973015873015873,0.7444444444444445
chips_paper_and_potato_subtracted,0.005372405372405372,0.046243026928818494,8,26,51,0.9698412698412698,0.7444444444444445
chips_paper_and_potato_subtracted,0.005820105820105821,0.052063132748924316,8,25,49,0.9666666666666667,0.7444444444444445
chips_paper_and_potato_subtracted,0.005941286909028841,0.05800441965795316,8,24,47,0.9634920634920635,0.7444444444444445
chips_paper_and_potato_subtracted,0.005960036436226914,0.06396445609418007,8,23,45,0.9603174603174603,0.7518518518518519
chips_paper_and_potato_subtracted,0.006138022258711916,0.0762405006116039,8,21,41,0.953968253968254,0.7518518518518519
chips_paper_and_potato_subtracted,0.008226397258655326,0.08446689787025922,8,20,39,0.9492063492063492,0.7592592592592593
chips_paper_and_potato_subtracted,0.00834087481146304,0.09280777268172227,8,19,37,0.9444444444444444,0.762962962962963
chips_paper_and_potato_subtracted,0.008365079365079367,0.10117285204680164,7,18,35,0.9396825396825397,0.7666666666666667
chips_paper_and_potato_subtracted,0.0091224153703476,0.11029526741714923,7,17,33,0.9380952380952381,0.7814814814814814
chips_paper_and_potato_subtracted,0.009183673469387754,0.11947894088653699,7,16,31,0.9301587301587302,0.7814814814814814
chips_paper_and_potato_subtracted,0.00925925925925926,0.12873820014579626,7,15,29,0.9222222222222223,0.7814814814814814
chips_paper_and_potato_subtracted,0.00935543723172589,0.14744907460924805,6,13,25,0.9111111111111111,0.7851851851851852
chips_paper_and_potato_subtracted,0.010953270196967693,0.15840234480621573,6,12,23,0.9047619047619048,0.7962962962962963
chips_paper_and_potato_subtracted,0.011681077744069887,0.17008342255028563,6,11,21,0.8984126984126984,0.7962962962962963
chips_paper_and_potato_subtracted,0.012298462692163484,0.1823818852424491,6,10,19,0.8920634920634921,0.7925925925925926
chips_paper_and_potato_subtracted,0.012563325487036828,0.20750853621652277,4,8,15,0.8714285714285714,0.8
chips_paper_and_potato_subtracted,0.013122952884857653,0.22063148910138042,4,7,13,0.8650793650793651,0.8
chips_paper_and_potato_subtracted,0.02216690218760612,0.24279839128898653,4,6,11,0.8539682539682539,0.7962962962962963
chips_paper_and_potato_subtracted,0.02824095735236673,0.27103934864135326,3,5,9,0.8222222222222222,0.7814814814814814
chips_paper_and_potato_subtracted,0.03202183594807215,0.30306118458942544,2,4,7,0.7555555555555555,0.7185185185185186
chips_paper_and_potato_subtracted,0.1394303006138199,0.4424914852032453,2,3,5,0.5857142857142857,0.5666666666666667
chips_paper_and_potato_subtracted,0.171339442374313,0.6138309275775583,1,2,3,0.4,0.3925925925925926
chips_paper_and_potato_subtracted,0.18616907242244174,0.8,0,1,1,0.2,0.2
